CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,033",55,"2,734",45.33,373.00,-73.15,75,365.00,381.60,75,"8,900.00",750,323.00,325.90,75,-10.15,323.00,51.05,"10,505",764,"3,627",
,87,9,122,44.87,330.00,-86.30,75,334.85,377.95,75,"8,950.00",300,345.05,364.55,75,-7.95,345.10,50.76,234,-18,133,
,"20,382","-1,206","32,902",43.98,310.95,-71.40,225,311.00,314.85,75,"9,000.00","1,425",366.00,368.00,75,-5.20,368.00,50.15,"60,255","2,761","25,749",
,88,-11,201,43.54,266.15,-93.05,75,270.00,283.00,75,"9,050.00",75,370.30,394.50,75,-11.45,386.05,50.03,322,-5,69,
,"2,433",126,"8,718",43.86,261.00,-69.45,75,260.00,262.00,150,"9,100.00",75,411.10,419.00,150,-1.15,418.60,49.91,"10,112",384,"2,129",
,73,21,464,43.42,249.15,-54.40,75,233.05,259.95,150,"9,150.00",75,437.10,461.95,75,21.85,451.90,49.94,407,9,43,
,"4,065","1,186","18,045",43.32,214.80,-66.80,225,215.00,217.00,75,"9,200.00",750,469.05,475.15,75,-1.50,470.00,49.28,"11,400",667,"1,708",
,118,85,"1,408",42.97,197.85,-60.55,75,184.75,198.00,75,"9,250.00",75,484.95,507.80,75,16.00,498.00,48.26,511,78,87,
,"1,954",403,"13,108",42.68,175.05,-65.00,75,175.00,177.00,75,"9,300.00",75,525.15,534.75,150,9.15,534.40,49.03,"2,985",123,699,
,56,46,133,42.64,119.55,-111.25,75,121.40,167.10,75,"9,350.00",75,373.60,654.15,75,36.10,586.95,44.73,17,1,4,
,"2,327",206,"13,656",42.25,142.45,-58.00,75,141.70,144.75,75,"9,400.00",750,594.05,601.00,75,13.00,600.00,48.22,829,106,240,
,16,12,115,42.02,132.00,-41.40,75,94.55,130.95,75,"9,450.00",75,484.55,701.45,75,-8.30,653.10,44.12,12,-1,8,
,"16,345",892,"47,640",41.39,114.85,-52.10,75,114.90,115.00,900,"9,500.00",75,660.60,668.05,75,10.15,661.05,47.67,"10,700","1,480","11,835",
,27,4,145,41.40,98.90,-53.00,75,98.95,110.60,75,"9,550.00",75,575.10,-,-,-693.60,693.60,-,-,-,5,
,"2,658",820,"12,544",40.76,92.00,-44.00,75,90.10,92.95,75,"9,600.00",75,735.75,749.65,75,32.50,745.00,46.11,196,-3,172,
,-,-,-,-,165.00,-165.00,75,56.35,92.50,75,"9,650.00","9,900",667.55,-,-,-,-,-,-,-,-,
,"3,137",558,"13,603",40.08,72.25,-38.10,75,69.00,71.30,75,"9,700.00",75,812.00,824.60,75,35.65,825.70,47.87,679,114,466,
,7,7,15,40.44,42.40,"-1,506.45",150,44.75,64.50,75,"9,750.00",750,803.50,989.10,75,-,-,-,-,-,-,
,"2,695",545,"15,383",39.85,54.95,-33.45,150,53.65,55.00,75,"9,800.00",75,896.15,909.15,75,45.30,910.00,45.88,81,-9,"1,014",
,-,-,-,-,90.25,-90.25,75,20.50,193.60,150,"9,850.00",75,873.90,"1,157.10",75,-,-,-,-,-,-,
,"1,866",398,"11,127",39.70,43.40,-29.20,150,40.55,44.00,75,"9,900.00",75,988.55,995.90,75,66.20,"1,001.20",32.02,125,-71,"2,098",
,13,9,43,39.33,42.70,-28.50,225,36.00,42.75,150,"9,950.00",750,952.80,"1,500.75",75,-,-,-,-,-,-,
,"22,251","1,491","58,547",39.72,35.35,-25.05,"1,500",35.10,35.15,300,"10,000.00",75,"1,077.50","1,086.55",75,39.55,"1,079.15",48.76,"2,151",-337,"8,500",
,47,40,91,40.27,30.00,-16.40,150,30.00,34.95,150,"10,050.00","9,900",960.90,"1,325.50","9,900","-1,421.00","1,421.00",-,-,-,2,
,"1,007",234,"6,383",39.47,27.05,-20.50,75,25.50,28.40,75,"10,100.00",75,"1,124.75","1,239.20",75,77.65,"1,179.70",-,23,-13,119,
,1,-,-,-,175.00,-175.00,150,11.70,72.40,150,"10,150.00","9,900",917.15,"1,456.40","9,900","-1,170.00","1,170.00",-,-,-,44,
,"1,150",188,"7,161",39.39,21.05,-16.90,"1,200",21.00,21.90,75,"10,200.00",75,"1,261.00","1,284.05",75,49.15,"1,275.00",41.57,18,-2,258,
,1,-,-,-,35.00,-35.00,150,10.30,49.95,150,"10,250.00","9,900","1,130.95","1,480.00","9,900",-,-,-,-,-,-,
,"1,222",623,"5,736",39.71,16.90,-13.70,150,17.00,18.00,75,"10,300.00",150,"1,356.95","1,376.75",150,67.00,"1,387.00",-,9,1,198,
,-,-,-,-,-,-,75,8.00,82.85,150,"10,350.00","9,900","1,263.10","1,598.90","9,900",-,-,-,-,-,-,
,923,296,"5,054",40.21,14.50,-10.30,75,13.60,15.75,75,"10,400.00",75,"1,448.95","1,472.55",75,143.45,"1,507.60",-,13,-2,94,
,-,-,-,-,-,-,600,5.65,74.05,150,"10,450.00","9,900","1,332.00","1,702.80","9,900",-,-,-,-,-,-,
,"10,060",292,"16,928",40.70,12.15,-7.80,300,12.00,12.30,75,"10,500.00",225,"1,553.70","1,562.15",75,70.60,"1,574.30",54.82,304,-111,"3,171",
,-,-,-,-,-,-,"9,975",4.00,94.55,"9,900","10,550.00","9,900","1,158.65","1,891.10","9,900",-,-,-,-,-,-,
,"1,220",145,"3,587",40.79,10.10,-5.50,225,9.20,10.15,75,"10,600.00",150,"1,639.75","1,696.95",75,120.40,"1,673.70",-,2,1,327,
,-,-,-,-,-,-,"1,500",2.00,84.55,"9,900","10,650.00","9,900","1,248.00","2,000.65","9,900","-2,000.00","2,000.00",-,-,-,4,
,"1,253",241,"2,442",41.71,9.25,-4.20,75,8.30,9.25,75,"10,700.00",75,"1,745.65","1,791.55",75,-121.10,"1,585.90",60.55,6,-2,157,
,-,-,-,-,-,-,"1,500",2.20,74.55,"9,900","10,750.00","9,900","1,337.55","2,096.75","9,900",-,-,-,-,-,-,
,"1,537",130,"2,641",42.55,7.35,-4.15,75,6.40,7.95,75,"10,800.00",75,"1,820.85","1,879.65",75,74.15,"1,859.15",-,12,-8,713,
,-,-,-,-,-,-,"11,475",2.00,64.55,"9,900","10,850.00","9,900","1,426.95","2,183.90","9,900",-,-,-,-,-,-,
,758,47,"1,764",43.47,7.00,-2.70,150,6.65,7.00,"2,400","10,900.00",75,"1,925.50","1,995.80",75,110.00,"1,983.05",55.46,5,1,217,
,-,-,-,-,-,-,"11,475",2.00,29.00,750,"10,950.00","9,900","1,516.40","2,210.85","9,900",-,-,-,-,-,-,
,"14,845",980,"9,695",44.25,5.10,-3.55,75,5.10,5.25,75,"11,000.00",75,"2,041.40","2,051.75",75,78.85,"2,058.00",72.22,71,-32,"3,637",
,-,-,-,-,-,-,"9,975",1.20,36.60,"9,900","11,050.00","9,900","1,606.10","2,317.45","9,900",-,-,-,-,-,-,
,844,133,325,46.32,5.00,-3.35,75,5.05,5.70,75,"11,100.00",75,"2,133.65","2,216.70",75,-95.15,"1,934.85",49.24,1,1,238,
,-,-,-,-,-,-,"9,975",1.00,32.35,"9,900","11,150.00","9,900","1,675.25","2,436.35","9,900",-,-,-,-,-,-,
,"1,168",16,255,46.78,4.50,-2.95,225,4.50,5.00,75,"11,200.00",150,"2,185.00","2,363.10",600,-171.00,"2,029.00",45.81,29,1,577,
,19,-,-,-,43.70,-43.70,150,0.40,27.60,"9,900","11,250.00","9,900","1,764.50","2,555.05","9,900",-190.00,190.00,-,-,-,1,
,662,11,118,48.52,4.50,-2.55,75,4.25,5.25,300,"11,300.00",75,"2,243.40","2,617.75",75,-217.15,"2,075.00",-,7,-7,603,
,-,-,-,-,-,-,750,1.25,29.25,"9,900","11,350.00","9,900","1,853.90","2,729.25","9,900",-,-,-,-,-,-,
,"1,077",18,103,49.49,4.55,-2.45,300,4.35,5.45,525,"11,400.00",75,"2,378.80","2,574.50","1,725",-246.70,"2,166.35",-,11,-7,471,
,-,-,-,-,-,-,225,0.30,27.90,"9,900","11,450.00","9,900","2,015.30","2,811.50","9,900",-399.00,399.00,-,-,-,1,
,"11,009",-209,"1,428",49.13,3.60,-1.00,"1,275",3.60,3.80,150,"11,500.00",75,"2,538.50","2,549.15",75,103.05,"2,582.00",-,26,-8,640,
,-,-,-,-,-,-,300,0.35,27.25,"9,900","11,550.00","9,900","2,111.20","2,920.40","9,900",-449.00,449.00,-,-,-,1,
,"1,060",72,136,50.89,4.25,-0.75,75,3.90,4.25,75,"11,600.00",75,"2,623.80","2,781.70","3,075",30.35,"2,662.00",-,9,-3,158,
,-,-,-,-,-,-,225,0.35,27.60,"9,900","11,650.00","9,900","2,201.45","3,002.85","9,900",-,-,-,-,-,-,
,"1,213",-28,72,52.31,3.70,-0.60,"4,575",3.70,4.00,375,"11,700.00",675,"2,650.05","2,811.15",975,"-2,652.90","2,652.90",-,-,-,"2,616",
,-,-,-,-,-,-,300,0.35,27.35,"9,900","11,750.00","9,900","2,291.55","3,132.70","9,900",-,-,-,-,-,-,
,"1,590",-23,58,53.60,3.60,-0.95,"1,800",3.25,3.65,75,"11,800.00",75,"2,810.90","2,891.05",75,-460.30,"2,588.35",-,8,-4,342,
,-,-,-,-,-,-,300,1.00,27.25,"9,900","11,850.00","9,900","2,381.80","3,155.50","9,900",-,-,-,-,-,-,
,"1,119",13,59,55.49,3.55,-1.15,225,3.55,3.80,75,"11,900.00",600,"2,840.20","2,955.25",75,-236.35,"2,693.60",-,1,-,72,
,-,-,-,-,-,-,300,0.30,27.35,"9,900","11,950.00","9,900","2,472.15","3,267.05","9,900","-1,460.00","1,460.00",-,-,-,2,
,"10,705",-669,"2,454",55.88,3.05,-0.45,"8,850",3.00,3.15,"1,500","12,000.00","1,425","3,040.00","3,045.70",375,81.40,"3,040.00",-,47,-14,"3,795",
,-,-,-,-,-,-,300,0.30,26.50,"9,900","12,050.00","9,900","2,780.20","3,371.80","9,900",-,-,-,-,-,-,
,677,30,116,56.73,3.00,-1.35,900,2.75,3.10,75,"12,100.00",75,"3,017.30","3,383.40","1,200",-225.00,"2,860.00",-,4,-4,74,
,-,-,-,-,6.00,-6.00,600,0.30,125.00,"3,000","12,150.00","9,900","2,652.70","3,497.40","9,900",-,-,-,-,-,-,
,434,-19,80,55.80,2.20,-1.00,75,2.20,2.80,75,"12,200.00",600,"3,131.30","3,586.75",75,-38.60,"3,237.20",-,9,-2,49,
,-,-,-,-,-,-,600,0.30,26.10,"9,900","12,250.00","9,900","2,742.95","3,617.35","9,900",-,-,-,-,-,-,
,419,2,43,59.27,2.80,-0.30,"1,875",1.90,3.00,225,"12,300.00",75,"3,216.85","3,609.55","3,075","-3,551.95","3,551.95",-,-,-,40,
,-,-,-,-,-,-,600,0.20,26.40,"9,900","12,350.00","9,900","2,150.40","3,735.40","9,900",-,-,-,-,-,-,
,793,-4,27,59.14,2.05,-0.50,150,2.05,2.40,150,"12,400.00",375,"3,327.75","3,648.55",375,"-4,333.00","4,333.00",-,-,-,6,
,-,-,-,-,-,-,600,0.20,25.70,"9,900","12,450.00","9,900","2,835.90","3,850.10","9,900",-,-,-,-,-,-,
,"4,056",79,723,58.79,1.80,-0.45,"6,750",1.80,2.25,75,"12,500.00",225,"3,550.00","3,561.20",75,110.15,"3,586.15",-,22,-1,994,
,60,-2,73,61.32,2.00,-0.70,75,1.70,2.20,75,"12,550.00","9,900","2,927.20","4,019.25","9,900",-,-,-,-,-,-,
,483,8,51,60.46,1.75,-0.70,75,1.80,1.95,75,"12,600.00",75,"3,516.75","3,856.80",75,-658.00,658.00,-,-,-,1,
,-,-,-,-,-,-,150,0.25,25.20,"9,900","12,650.00","9,900","2,450.40","4,082.35","9,900",-,-,-,-,-,-,
,166,16,28,60.68,1.65,-1.20,225,1.65,1.90,675,"12,700.00",75,"3,598.60","3,988.85","9,900",-,-,-,-,-,-,
,74,33,225,63.08,1.85,-0.55,600,1.75,2.00,300,"12,750.00","9,900","3,105.75","4,196.30","9,900",-,-,-,-,-,-,
,275,15,38,63.41,2.00,0.35,450,1.70,2.00,75,"12,800.00",75,"3,694.15","4,069.35",75,"-5,140.40","5,140.40",-,-,-,-,
,-,-,-,-,-,-,900,0.20,25.35,"9,900","12,850.00","9,900","3,193.00","4,378.70","9,900",-,-,-,-,-,-,
,125,-11,36,64.53,1.40,-0.75,225,1.25,1.80,375,"12,900.00",75,"3,784.15","4,215.75",75,"-5,250.00","5,250.00",-,-,-,2,
,-,-,-,-,-,-,900,0.10,26.25,"9,900","12,950.00","9,900","3,282.55","4,434.90","9,900",-,-,-,-,-,-,
,"2,829",10,560,64.88,1.70,-0.40,"1,800",1.60,1.70,"1,875","13,000.00",75,"4,023.80","4,038.35",75,86.05,"4,045.00",92.38,112,37,"1,253",
,-,-,-,-,-,-,900,0.10,25.25,"9,900","13,050.00","9,900","2,850.40","4,540.25","9,900",-,-,-,-,-,-,
,87,-,2,-,2.05,0.05,300,1.10,2.00,"1,050","13,100.00","9,900","3,417.45","4,581.85","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,600",0.20,25.45,"9,900","13,150.00","9,900","2,950.40","4,658.55","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,000",0.55,2.95,225,"13,200.00","9,900","3,000.40","4,689.95","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,600",0.20,42.00,"3,000","13,250.00","9,900","3,550.20","4,775.75","9,900",-,-,-,-,-,-,
,13,2,2,69.73,2.05,-0.90,150,0.85,1.95,150,"13,300.00",75,"4,153.75","4,429.15","1,125",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,600",0.20,38.00,"3,000","13,350.00","9,900","3,150.40","4,890.25","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,600",0.20,2.95,225,"13,400.00","9,900","3,200.40","4,906.60","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,600",0.20,35.00,"3,000","13,450.00","9,900","3,728.70","5,007.85","9,900",-,-,-,-,-,-,
,"2,082",-31,223,69.67,1.55,-0.45,750,1.50,1.55,"3,900","13,500.00",75,"4,514.65","4,541.95",75,-155.90,"4,360.00",112.16,3,-1,"1,434",
,-,-,-,-,-,-,"3,600",0.20,30.00,"3,000","13,550.00","9,900","3,818.05","5,130.10","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,600",0.20,2.95,225,"13,600.00","9,900","4,194.35","4,970.10","9,900",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,600",0.20,27.50,"3,000","13,650.00","9,900","3,907.35","5,248.95","9,900",-,-,-,-,-,-,
,36,12,14,72.70,0.80,-1.20,75,0.80,1.75,300,"13,700.00","9,900","4,567.15","5,156.20",75,-,-,-,-,-,-,
